file	bytes	mtime	mirror_status
PF_ATTR_FIELD_VALIDATION_DELTA.md	7959	2026-08-30 18:45	mirrored
PF_ATTR_FIELD_VALIDATION_DELTA.tsv	4552	2026-08-30 18:45	mirrored
PF_ATTR_FOR_SERVER.md	126774	2026-08-31 17:51	mirrored
PF_ATTR_GENERATION_MANIFEST.json	8202	2026-08-31 17:51	mirrored
PF_ATTR_INHERITANCE.tsv	40114	2026-08-31 17:51	mirrored
PF_ATTR_NAME_COLOR_SELECTOR.tsv	37350	2026-08-31 17:51	mirrored
PF_ATTR_PROBE_REQUESTS.tsv	151	2026-08-31 17:51	mirrored
PF_ATTR_QUARANTINE.tsv	359	2026-08-31 17:51	mirrored
PF_ATTR_QUEST_MARK_SELECTOR.tsv	52137	2026-08-31 17:51	mirrored
PF_ATTR_REMAINING_CODEC_CENSUS.md	2593	2026-08-31 17:51	mirrored
PF_ATTR_REMAINING_CODEC_CENSUS.tsv	135056	2026-08-31 17:51	mirrored
PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	2026-08-31 17:51	mirrored
PF_ATTR_RUNTIME_FIELDS.tsv	20578	2026-08-31 17:51	mirrored
PF_ATTR_SEMANTIC_DELTA.tsv	856188	2026-08-31 17:51	mirrored
PF_ATTR_SEMANTIC_REPORT.md	45130	2026-08-31 17:51	mirrored
PF_ATTR_UI_BINDINGS.tsv	12964	2026-08-31 17:51	mirrored
PF_ATTR_UNRESOLVED.tsv	2355364	2026-08-31 17:51	NOT_YET
PF_CAPTURE_BRANCH_SHAPES_20260830.md	5728	2026-08-29 20:28	NOT_YET
PF_CAPTURE_BRANCH_SHAPES_20260830.tsv	33796	2026-08-29 20:28	NOT_YET
PF_CAPTURE_DELTA_20260830.inventory.tsv	127368	2026-08-29 20:30	NOT_YET
PF_CAPTURE_DELTA_20260830.md	4156	2026-08-29 20:30	NOT_YET
PF_CAPTURE_DELTA_20260830.validation.tsv	6462	2026-08-29 20:30	NOT_YET
PF_COMBAT_LIFECYCLE.md	2423	2026-08-31 17:51	mirrored
PF_COMBAT_LIFECYCLE.tsv	41063	2026-08-31 17:51	mirrored
PF_COMPILER_RUNTIME_TARGET_6564_CLOSURE.md	11770	2026-08-29 23:21	NOT_YET
PF_CRITICAL_ARTIFACT_AUTHORITY.json	10550	2026-09-01 10:52	NOT_YET
PF_DAILY_ACTIVITY_CLOSURE.md	4236	2026-08-30 00:29	NOT_YET
PF_DATA_EVIDENCE.md	1390	2026-08-22 14:50	NOT_YET
PF_DATA_EVIDENCE.tsv	59258	2026-08-22 14:50	NOT_YET
PF_DUMP_REQUEST.md	14814	2026-08-22 14:53	NOT_YET
PF_EMBEDDED_CHILD_COMPOSITION.md	4771	2026-08-30 01:16	NOT_YET
PF_ERRATUM_TWO_IMAGES.md	2028	2026-08-22 14:50	mirrored
PF_EXTERNAL_REPORT.md	48750	2026-08-22 14:57	NOT_YET
PF_FIELD_VALIDATION.md	5487	2026-08-23 07:22	NOT_YET
PF_FIELD_VALIDATION.tsv	72849	2026-08-23 07:22	NOT_YET
PF_GM_PLUGIN_GATE.md	17377	2026-09-01 07:17	NOT_YET
PF_GM_PLUGIN_GATE.pair.json	777	2026-09-01 07:17	NOT_YET
PF_GM_PLUGIN_GATE.tsv	27050	2026-09-01 07:17	NOT_YET
PF_GROUND_DROP_LIFETIME.md	21237	2026-09-01 07:59	NOT_YET
PF_GROUND_DROP_LIFETIME.tsv	61979	2026-09-01 07:59	NOT_YET
PF_GROUND_DROP_TRANSPORT.md	2779	2026-08-31 17:51	mirrored
PF_GROUND_DROP_TRANSPORT.tsv	26924	2026-08-31 17:51	mirrored
PF_HANDOFF_V1.md	31872	2026-08-22 15:00	NOT_YET
PF_INPUT_INVENTORY.md	1214	2026-08-22 15:00	NOT_YET
PF_INPUT_INVENTORY.tsv	364080	2026-08-22 15:00	NOT_YET
PF_ITERATOR_HELPERS_NONWIRE.md	8867	2026-08-29 23:22	NOT_YET
PF_MONSTER_COLOR_GATE.md	40551	2026-09-01 08:00	NOT_YET
PF_MONSTER_COLOR_GATE.pair.json	529	2026-09-01 08:00	NOT_YET
PF_MONSTER_COLOR_GATE.tsv	110234	2026-09-01 08:00	NOT_YET
PF_MONSTER_COLOR_MECHANISM_JOIN.md	8372	2026-09-01 09:45	NOT_YET
PF_MONSTER_COLOR_MECHANISM_JOIN.tsv	13134	2026-09-01 09:45	NOT_YET
PF_MONSTER_COLOR_WIRE_CONTROL.md	6473	2026-09-01 09:35	NOT_YET
PF_MONSTER_COLOR_WIRE_CONTROL.tsv	27191	2026-09-01 09:35	NOT_YET
PF_MONSTER_PRESENTATION.md	5105	2026-08-31 17:51	mirrored
PF_MONSTER_PRESENTATION.tsv	4685803	2026-08-31 17:51	NOT_YET
PF_MONSTER_ROLE_DATA_CONTROLS.md	7838	2026-09-01 11:37	NOT_YET
PF_MONSTER_ROLE_DATA_CONTROLS.pair.json	739	2026-09-01 11:37	NOT_YET
PF_MONSTER_ROLE_DATA_CONTROLS.tsv	45536	2026-09-01 11:37	NOT_YET
PF_POOL_46BAA0_BLOCKER.md	3610	2026-08-29 21:24	NOT_YET
PF_POOL_46F4D0_CLOSURE.md	4054	2026-08-29 21:08	NOT_YET
PF_POOL_638690_CLOSURE.md	6015	2026-08-29 20:48	NOT_YET
PF_POOL_661FA0_CLOSURE.md	12524	2026-08-29 20:51	NOT_YET
PF_POST_V1_PRIORITY_DELTA.tsv	1456	2026-08-29 20:29	NOT_YET
PF_POST_V1_STATIC_CLOSURE.md	5611	2026-08-29 20:29	NOT_YET
PF_PRIORITY_COMPILER_TARGET_6564_DELTA.tsv	4710	2026-08-29 23:21	NOT_YET
PF_PRIORITY_DAILY_ACTIVITY_DELTA.tsv	1247	2026-08-30 00:29	NOT_YET
PF_PRIORITY_EMBEDDED_CHILD_DELTA.tsv	2777	2026-08-30 01:16	NOT_YET
PF_PRIORITY_POOL_46F4D0_DELTA.tsv	2256	2026-08-29 21:08	NOT_YET
PF_PRIORITY_POOL_638690_DELTA.tsv	2242	2026-08-29 20:48	NOT_YET
PF_PRIORITY_POOL_661FA0_DELTA.tsv	1884	2026-08-29 20:51	NOT_YET
PF_PRIORITY_SERIALIZER_SLOT34_DELTA.tsv	30483	2026-08-29 21:08	NOT_YET
PF_PRIORITY_STATIC_TYPE_INFO_DELTA.tsv	2720	2026-08-30 01:35	NOT_YET
PF_PRIORITY_V5_INVALID_PARAMETER_DELTA.tsv	1678	2026-08-30 03:03	NOT_YET
PF_PROTOCOL_PRIORITY.md	30541	2026-08-22 14:56	NOT_YET
PF_PROTOCOL_PRIORITY.tsv	132502	2026-08-22 14:56	NOT_YET
PF_PROTOCOL_REGISTRY.md	4267	2026-08-22 14:53	NOT_YET
PF_PROTOCOL_REGISTRY.tsv	89506	2026-08-22 14:53	NOT_YET
PF_QUEST_MARK_EVENT_CENSUS.md	8833	2026-09-01 10:31	NOT_YET
PF_QUEST_MARK_EVENT_CENSUS.tsv	29193	2026-09-01 10:31	NOT_YET
PF_QUEST_MARK_LIFECYCLE.md	13715	2026-09-01 10:45	NOT_YET
PF_QUEST_MARK_LIFECYCLE.tsv	23289	2026-09-01 10:45	NOT_YET
PF_QUEST_MARK_RESOURCE_RESOLVER.md	8165	2026-09-01 10:43	NOT_YET
PF_QUEST_MARK_RESOURCE_RESOLVER.tsv	44435	2026-09-01 10:43	NOT_YET
PF_RUNTIME_CLASSMAP.md	2923	2026-08-22 14:40	NOT_YET
PF_RUNTIME_CLASSMAP.tsv	1947472	2026-08-22 14:40	NOT_YET
PF_SERIALIZER_FIELDS.md	29968	2026-08-22 14:54	NOT_YET
PF_SERIALIZER_FIELDS.tsv	25195473	2026-08-22 14:53	NOT_YET
PF_SERIALIZER_SLOT34_CORRECTION.md	6029	2026-08-29 21:08	NOT_YET
PF_SERIALIZER_SLOT34_ROOTS.tsv	15626	2026-08-29 21:08	NOT_YET
PF_STATIC_TYPE_INFO_CLASSMAP.md	1698	2026-08-30 00:29	NOT_YET
PF_STATIC_TYPE_INFO_CLASSMAP.tsv	1992	2026-08-30 00:29	NOT_YET
PF_TAG_CENSUS.tsv	1985	2026-08-22 14:54	NOT_YET
PF_TARGETS_694790_6B3440_A2_DELTA.tsv	18047	2026-08-29 21:48	NOT_YET
PF_TARGETS_694790_6B3440_NONWIRE.md	10629	2026-08-29 21:48	NOT_YET
PF_TARGET_652A30_A2_DELTA.tsv	9295	2026-08-29 21:35	NOT_YET
PF_TARGET_652A30_NONWIRE.md	8762	2026-08-29 21:35	NOT_YET
PF_V1_MANIFEST.md	4127	2026-08-22 15:04	NOT_YET
PF_V2_EFFECTIVE_STATUS.md	2948	2026-08-29 22:07	NOT_YET
PF_V2_FIELD_VALIDATION.md	7685	2026-08-29 22:09	NOT_YET
PF_V2_FIELD_VALIDATION.tsv	22058	2026-08-29 22:09	NOT_YET
PF_V2_HANDOFF.md	12231	2026-08-29 22:08	NOT_YET
PF_V2_MANIFEST.md	13366	2026-08-29 22:14	NOT_YET
PF_V2_P1_OPEN.tsv	56019	2026-08-29 22:07	NOT_YET
PF_V3_EFFECTIVE_STATUS.md	3281	2026-08-29 23:26	NOT_YET
PF_V3_FIELD_VALIDATION.md	8720	2026-08-29 23:36	NOT_YET
PF_V3_HANDOFF.md	10762	2026-08-29 23:29	NOT_YET
PF_V3_MANIFEST.md	16871	2026-08-29 23:46	NOT_YET
PF_V3_P1_OPEN.tsv	54699	2026-08-29 23:26	NOT_YET
PF_V4_EFFECTIVE_STATUS.md	3140	2026-08-30 01:35	NOT_YET
PF_V4_FIELD_VALIDATION.md	8423	2026-08-30 01:18	NOT_YET
PF_V4_HANDOFF.md	5654	2026-08-30 02:06	NOT_YET
PF_V4_MANIFEST.md	20919	2026-08-30 02:06	NOT_YET
PF_V4_P1_OPEN.tsv	54668	2026-08-30 01:35	NOT_YET
PF_V5_EFFECTIVE_STATUS.md	3407	2026-08-30 03:41	NOT_YET
PF_V5_FIELD_VALIDATION.md	7101	2026-08-30 03:54	NOT_YET
PF_V5_INVALID_PARAMETER_CLOSURE.md	8563	2026-08-30 03:03	NOT_YET
PF_V5_P1_OPEN.tsv	53841	2026-08-30 03:41	NOT_YET
pf_attr_checkpoint_reader.py	26393	2026-08-31 08:44	NOT_YET
pf_build_compiler_runtime_target_6564_closure.py	106505	2026-08-29 23:18	NOT_YET
pf_build_daily_activity_closure.py	55421	2026-08-30 00:28	NOT_YET
pf_build_embedded_child_composition.py	69970	2026-08-30 01:15	NOT_YET
pf_build_iterator_helpers_nonwire.py	59836	2026-08-29 23:03	NOT_YET
pf_build_pool_46baa0_reader_delta.py	26042	2026-08-29 21:23	NOT_YET
pf_build_pool_46f4d0_closure.py	54835	2026-08-29 21:08	NOT_YET
pf_build_pool_638690_closure.py	58979	2026-08-29 20:48	NOT_YET
pf_build_pool_661fa0_closure.py	53458	2026-08-29 20:50	NOT_YET
pf_build_post_v1_static_closure.py	34431	2026-08-29 20:28	NOT_YET
pf_build_priority.py	20550	2026-08-22 14:56	NOT_YET
pf_build_serializer_slot34_correction.py	58135	2026-08-29 21:08	NOT_YET
pf_build_static_type_info_classmap.py	29191	2026-08-30 00:28	NOT_YET
pf_build_string_tag_correction.py	22277	2026-08-29 20:29	NOT_YET
pf_build_target_652a30_nonwire.py	36708	2026-08-29 21:36	NOT_YET
pf_build_targets_694790_6b3440_nonwire.py	31872	2026-08-29 21:48	NOT_YET
pf_build_v1_manifest.py	17420	2026-08-22 15:04	NOT_YET
pf_build_v2_effective_status.py	18825	2026-08-29 22:07	NOT_YET
pf_build_v2_manifest.py	26674	2026-08-29 22:11	NOT_YET
pf_build_v3_effective_status.py	34362	2026-08-29 23:38	NOT_YET
pf_build_v3_manifest.py	58012	2026-08-29 23:44	NOT_YET
pf_build_v4_effective_status.py	65016	2026-08-30 01:34	NOT_YET
pf_build_v4_manifest.py	91165	2026-08-30 02:03	NOT_YET
pf_build_v5_effective_status.py	71086	2026-08-30 03:37	NOT_YET
pf_build_v5_invalid_parameter_closure.py	103855	2026-08-30 02:58	NOT_YET
pf_build_v5_manifest.py	102453	2026-08-30 04:15	NOT_YET
pf_capture_delta_20260830.py	41935	2026-08-29 20:30	NOT_YET
pf_extract_capture_branch_shapes_20260830.py	40610	2026-08-29 20:27	NOT_YET
pf_extract_data_evidence.py	14216	2026-08-22 14:49	NOT_YET
pf_extract_dump_rtti.py	32164	2026-08-22 14:40	NOT_YET
pf_extract_dump_vtable_candidates.py	34672	2026-08-29 20:21	NOT_YET
pf_extract_protocol.py	773240	2026-08-22 13:17	NOT_YET
pf_inventory_inputs.py	10567	2026-08-22 13:26	NOT_YET
pf_rederive_actor_relation_interaction_graph.py	89606	2026-09-01 12:38	NOT_YET
pf_rederive_attr_capture_validation.py	55831	2026-08-30 18:45	NOT_YET
pf_rederive_attr_semantics.py	1477831	2026-08-31 17:49	NOT_YET
pf_rederive_gm_plugin_gate.py	113012	2026-09-01 07:16	NOT_YET
pf_rederive_ground_drop_lifetime.py	171909	2026-09-01 07:59	NOT_YET
pf_rederive_monster_color_gate.py	207140	2026-09-01 08:00	NOT_YET
pf_rederive_monster_color_mechanism_join.py	67594	2026-09-01 09:45	NOT_YET
pf_rederive_monster_color_wire_control.py	71641	2026-09-01 09:35	NOT_YET
pf_rederive_monster_role_data_controls.py	78358	2026-09-01 11:37	NOT_YET
pf_rederive_quest_mark_event_census.py	75639	2026-09-01 10:31	NOT_YET
pf_rederive_quest_mark_lifecycle.py	56022	2026-09-01 10:44	NOT_YET
pf_rederive_quest_mark_resource_resolver.py	74855	2026-09-01 10:43	NOT_YET
pf_validate_capture_fields.py	47884	2026-08-22 14:26	NOT_YET
pf_validate_v2_effective_capture.py	96399	2026-08-29 22:08	NOT_YET
pf_validate_v3_effective_capture.py	29378	2026-08-29 23:38	NOT_YET
pf_validate_v4_effective_capture.py	55563	2026-08-30 01:17	NOT_YET
pf_validate_v5_effective_capture.py	48617	2026-08-30 04:36	NOT_YET
