n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
22	Refine Green Jade	ไอเทมนี้ไม่ได้เป็นไอเทมที่ใช้เพิ่มอัตราให้ลูกเรือ แต่เป็นไอเทมไว้ใช้หลอม		เมื่อมี [Green Jade Mold(80%)] 1 อันแล้ว ไอเทมสองอย่างนี้สามารถหลอมได้ [Green Jade Mold(100%)] 1 อัน
23	Refine Blue Jade	ไอเทมนี้ไม่ได้เป็นไอเทมที่ใช้เพิ่มอัตราให้ลูกเรือ แต่เป็นไอเทมไว้ใช้หลอม		เมื่อมี [Blue Jade Mold(80%)] 1 อันแล้ว ไอเทมสองอย่างนี้สามารถหลอมได้ [Blue Jade Mold(100%)] 1 อัน
24	Settlement Chest Choice Service			เมื่อใช้สามารถเลือกหีบเพิ่มได้3 ครั้ง
25	Dyeing Remove			เมื่อใช้สามารถเปิดหน้าลบสีย้อมได้
26	Energy Crystal			สามารถนำค่าตีบวก Sword Soul ในเครื่องสวมใส่คืนค่าเป็นยังไม่มีค่าถดถอยได้
27	Class Chage Book			เมื่อใช้สามารถลบอาชีพได้ และได้แต้มสกิลคืน 100%
31	Perfect Boat dye	ขอบเขตที่ย้อมสีได้มี 1 ถึง 255 เมื่อได้รับไอเทมนี้แล้ว สามารถไปที่ [Port Royal] และไปขอความช่วยเหลือจาก [Jensen] เพื่อนำรือไปปรับสีให้ดูสดใส		
32	Perfect Color	ขอบเขตที่ย้อมสีได้มี 1 ถึง 255 เมื่อได้รับไอเทมนี้แล้ว สามารถไปที่ [Port Royal] และไปขอความช่วยเหลือจาก [Adam] เพื่อนำรือไปปรับสีให้ดูสดใส		
41	臉1.1		測試用道具，內部使用，請勿外流！！	
42	臉1.2		測試用道具，內部使用，請勿外流！！	
51	瞳1		測試用道具，內部使用，請勿外流！！	
52	瞳2		測試用道具，內部使用，請勿外流！！	
61	ทรงผมชาย 8			
62	ทรงผมหญิง 8			
71	髮色1		測試用道具，內部使用，請勿外流！！	
72	髮色2		測試用道具，內部使用，請勿外流！！	
81	สีผม 6		ไอเทมสำหรับทดสอบใช้ภายใน ห้ามนำออก!!	
82	สีผม 7		ไอเทมสำหรับทดสอบใช้ภายใน ห้ามนำออก!!	
91	膚色11		測試用道具，內部使用，請勿外流！！	
92	膚色12		測試用道具，內部使用，請勿外流！！	
101	Siren Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
102	Odyssey Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
103	Plato Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
104	Medea Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
105	Rosemary Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
106	Princess Angelina Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
107	Pirate Angelina Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
108	Columbus Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
109	Isoroku Yamamoto Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
110	Laura Board			เมื่อใช้สามารถวางแผงลอยในรูปแบบพิเศษได้ จำกัดเวลา 3 วัน
131	Booth EXP ansion 1 Grid			สามารถขยายแผงลอยปัจจุบันได้ 1 ช่อง จำกัด 20 ช่อง
132	Booth EXP ansion 2 Grid			สามารถขยายช่องแผงลอยได้ 2 ช่อง ขยายได้สูงสุด 20 ช่อง
133	Booth EXP ansion 3 Grid			สามารถขยายช่องแผงลอยได้ 3 ช่อง ขยายได้สูงสุด 20 ช่อง
134	Booth EXP ansion 4 Grid			สามารถขยายช่องแผงลอยได้ 4 ช่อง ขยายได้สูงสุด 20 ช่อง
141	Mosaic Expand			สามารถขยายช่องฝังประดับได้ 1 ช่อง ขยายได้สุดสุด 4 ช่อง
151	重置收納點數服務			可免費重置收納點數一次
161	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
162	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
163	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
164	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
165	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
166	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
167	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
168	Baptism Roll			สามารถล้างได้ฟรี 1 ครั้ง
201	ใบเปลี่ยนทรงผมชาย 9			เมื่อใช้จะแสดงทรงผมที่ต้องการเปลี่ยน เลือกทรงผมในหน้าต่างเพื่อทำการแก้ไขทรงผมใหม่
202	Hairstyle Roll-Male 10			เมื่อใช้สามารถแสดงตัวอย่างทรงผมที่ต้องการเปลี่ยน คลิกยืนยันด้านบนเพื่อเปลี่ยนทรงผมใหม่
251	男臉型變換券A5			使用後，可預覽變更後的臉型，在介面上點擊確認後可立即變換成新臉型
252	男臉型變換券B6			使用後，可預覽變更後的臉型，在介面上點擊確認後可立即變換成新臉型
301	ใบเปลี่ยนทรงผมหญิง 9			เมื่อใช้จะแสดงทรงผมที่ต้องการเปลี่ยน เลือกทรงผมในหน้าต่างเพื่อทำการแก้ไขทรงผมใหม่
302	Hairstyle Roll-Women 10			เมื่อใช้สามารถแสดงตัวอย่างทรงผมที่ต้องการเปลี่ยน คลิกยืนยันด้านบนเพื่อเปลี่ยนทรงผมใหม่
351	女臉型變換券A4			使用後，可預覽變更後的臉型，在介面上點擊確認後可立即變換成新臉型
352	女臉型變換券B4			使用後，可預覽變更後的臉型，在介面上點擊確認後可立即變換成新臉型
401	ยาย้อม-แดง			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
402	ยาย้อม-ม่วง			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
403	ยาย้อม-เหลือง			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
404	ยาย้อม-เงิน			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
405	ยาย้อม-ดำ			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
406	ยาย้อม-ฟ้า			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
407	ยาย้อม-เขียว			เมื่อใช้จะแสดงสีผมที่ต้องการเปลี่ยน เลือกสีผมในหน้าต่างเพื่อทำการแก้ไขสีผมใหม่
1001	VIP Service Contract(30 Day)	สิทธิ์ VIP มีดังนี้: \n1. มีช่องในกระเป๋าเพิ่ม 40 ช่อง\n2. มีช่องในคลังเพิ่ม 40 ช่อง\n3. ขายไปเทมในประมูลเพิ่มขึ้น 15 ชิ้น\n4. มีคลังติดตัว\n5. มีตู้นิรภัยติดตัว\n6. เพิ่ม EXP Bonus 30％ จากการต่อสู้\n7. ได้รับ Skill Point Bonus จากการต่อสู้เพิ่มขึ้น 30％\n8. มีคืนชีพที่เดิมฟรี 15 ครั้ง\n9. สามารถใช้【กระโดด VIP】ได้\n10. ค่าถดถอยของ Sword Soul ลดลงครึ่งหนึ่ง		เมื่อใช้จะได้รับสิทธิ์ VIP
1002	Bag Hire Contract(30 Day)			เมื่อใช้สามารถเช่าช่องในกระเป๋าได้ 40 ช่อง
1003	Warehouse Hire Contract(30 Day)			เมื่อใช้สามารถเช่าช่องในคลังได้ 40 ช่อง
1004	Crew Broaden One's View(30 Day)	มีเพียงช่องสกิลพิเศษเท่านั้นที่สามารถใส่ [Crew Special Skill] ให้ลูกเรือได้		เมื่อใช้สามารถเช่าช่องสกิลพิเศษได้ 4 ช่อง (ลูกเรือทั้งหมดสามารถใช้ได้)
1005	Battle EXP Shelter(7 Day)			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
1006	Lucky Gather Shelter(7 Day)	เพิ่มอัตราการดรอป [Extra Gold Brick] ที่มีคุณภาพ และไอเทม [Guawa Guess Fun] \n ไอเทม [Guawa Guess Fun] จะได้รับลูกเรือ, เครื่องประดับหลัง, เครื่องประดับหน้า และไอเทมอื่นๆที่เกี่ยวข้องของ Guawa family 		เมื่อใช้จะเพิ่มค่าโชคลาปในการดอป 10%
1007	Battle Skill Shelter(7 Day)			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
1008	Exchange Hire Limit Contract(30 Day)			เมื่อใช้สามารถเพิ่มของในการประมูลที่ Royal Exchange ได้ 15 อัน\n(ผู้ที่เป็นวีไอพีสามารถใช้ซ้ำเพื่อเพิ่มเวลาได้)
1009	Instant Warehouse Service(7 Day)			เมื่อใช้จะได้บริการคลังติดตัว สามารถเปิดคลังผ่าน [Instant Warehouse] ในกระเป๋า!
1010	Instant Box Service(7 Day)			เมื่อใช้จะได้บริการตู้นิรภัยติดตัว สามารถเปิดตู้นิรภัยผ่าน [Instant Box] ในกระเป๋า!
1011	Instant Shop Service(7 Day)			เมื่อใช้จะได้บริการร้านค้าติดตัว สามารถเปิดตู้ Royal Exchange ผ่าน [Instant Shop] ในกระเป๋า!
1051	Bag Hire Contract(1 Day)			เมื่อใช้สามารถเช่าช่องในกระเป๋าได้ 40 ช่อง
3001	Gray Boy - Underwear	ประเภทชั้นเก็บของ: รูปลักษณ์\nเมื่อสวมใส่จะได้รับค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้จะนำ【Gray Boy - Underwear】เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
3002	Camouflage-Underwear	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้สามารถนำ 【Camouflage-Underwear】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
3003	Underpants 3	Underpants 3		Underpants 3
3004	Pink Girl-Underwear	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Pink Girl-Underwear] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
3005	Pink Girl - Underclothes	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Pink Girl - Underclothes] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
3006	Purple Wave-Underwear	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Purple Wave-Underwear] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
3007	Purple Wave - Underclothes	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Purple Wave - Underclothes] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
3008	Pure Lily-Underwear	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Pure Lily-Underwear] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
3009	Pure Lily - Underclothes	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Pure Lily - Underclothes] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
3010	粉紅少女禮盒			使用後可獲得【粉紅少女-內衣】【粉紅少女-內褲】
3011	紫色波浪禮盒			使用後可獲得【紫色波浪-內衣】【紫色波浪-內褲】
3012	純淨百合禮盒			使用後可獲得【純潔百合-內衣】【純潔百合-內褲】
4001	Dante-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Dante-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4002	Dante-Cloth	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Dante-Cloth] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4003	Purgatory Queen-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Purgatory Queen-Headdress] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4004	Purgatory Queen-Cloth	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Purgatory Queen-Cloth] ใส่ลงในตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4005	Dark Armor Knight-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Dark Armor Knight-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4006	Dark Armor Knight-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Dark Armor Knight-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4007	Dark Armor Knight-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [Dark Armor Knight-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4008	morgan-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อใส่จะเพิ่มกำลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม พลังเวทย์ 5 แต้ม		เมื่อใช้จะนำ [morgan-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4009	morgan-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [morgan-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4010	morgan-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [morgan-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4011	Adventure Duke-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Adventure Duke-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4012	Adventure Duke-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Adventure Duke-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4013	Adventure Duke-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Adventure Duke-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4014	Laura-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, กาย 5 แต้ม, พลัง 5 แต้ม		เมื่อใช้จะนำ [Laura-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4015	Laura-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, กาย 5 แต้ม, พลัง 5 แต้ม		เมื่อใช้จะนำ [Laura-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4016	Laura-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, กาย 5 แต้ม, พลัง 5 แต้ม		เมื่อใช้จะนำ [Laura-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4017	Sephiroth-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Sephiroth-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4018	Sephiroth-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Sephiroth-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4019	Sephiroth-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Sephiroth-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4020	Fiona-Goggles	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Fiona-Goggles] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4021	Fiona-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Fiona-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4022	Fiona-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Fiona-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
