n_ID	s_TITLE	s_CONTENT_1	s_CONTENT_2
55	กอดอก	$V1 กอดอกและมอง $V2	$V1 อดอกและมองทุกคน
56	น้ำตาไหล	$V1 มองเห็น $V2 จึงร้องไห้ออกมา	$V1 น้ำตาไหล
57	แปลกใจ	$V1 สนใจใน $V2 เป็นอย่างมาก	$V1 มองด้วยสายตาอันแปลกใจ
58	เต้น	$V1 ลาก $V2 ให้มาเต้นด้วยกัน	$V1 เต้นคนเดียว
59	ไม่เห็นด้วย	$V1 คิดเหมือนกันกับ $V2	$V1 ไม่เห็นด้วย
60	ผิดหวัง	$V1 มอง $V2 ด้วยความผิดหวัง	$V1 รู้สึกผิดหวังมาก
61	โชคร้าย	$V1 เป็นกังวลว่า $V2 จะโชคร้าย	$V1 บอกทุกคนว่าความโชคร้ายกำลังจะมาถึง
62	สงสัย	$V1 ไม่เชื่อ $V2	$V1 รู้สึกไม่น่าเชื่อถือ
63	หมดแก้ว	$V1 อยากดื่มกับ $V2 สักแก้ว	$V1 ชนแก้วกับทุกคน!
64	น้ำลายไหล	$V1 มอง $V2 แล้วน้ำลายไหล	$V1 น้ำลายไหล
65	คุ้มกัน	$V1 ต้องการให้ $V2 หาที่คุ้มกัน	$V1 หลบและหาที่คุ้มกัน
66	กิน	$V1 กินต่อหน้า $V2 อย่างไม่มีมารยาท	$V1 เอาขนมออกมาและกิน
67	ส่งเสริม	$V1 เชียร์ $V2	$V1 ส่งเสียงเชียร์
68	ยักคิ้ว	$V1 ยักคิ้วให้ $V2 1 ครั้ง	$V1 ยักคิ้ว
69	เป็นลม	$V1 เป็นลมในอ้อมกอด $V2	$V1 เป็นลมล้มตึง
70	หน้าหม้อ	$V1 หม้อ $V2	$V1 หวังว่าจะมีคนมาหม้อ $V1 บ้าง
71	ติดตาม	$V1 ต้องการให้ $V2 ติดตาม $V1 	$V1 ต้องการให้ทุกคนตาม $V1 
72	จ้อง	$V1 จ้อง $V2	$V1 จ้องทุกๆคน
73	แฮ๊ปปี้	$V1 เห็น $V2 ก็อดไม่ได้ที่จะยิ้ม!	$V1 แสดงให้ทุกคนเห็นว่า$V1 มีควมสุขมาก
74	บ๊ายบาย	$V1 พูดบ๊ายบายกับ $V2!	$V1 บอกลาทุกคน
75	ถามไถ่	$V1 ถามไถ่ $V2	$V1 ถามไถ่ทุกๆคน
76	โห่ร้อง	$V1 โห่ร้องใส่ $V2	$V1 โห่ร้องด้วยความไม่พอใจ
77	กอด	$V1 กอด $V2	$V1 หวังว่ามีมีคนมาปรอบใจ $V1 
78	จูบ	$V1 จูบหน้าผาก $V2	$V1 ส่งจูบให้ทุกคน
79	คุกเข่า	$V1 คุกเข่าให้ $V2	$V1 คุกเข่าต่อหน้าทุกคน
80	หัวเราะ	$V1 หัวเราะให้ $V2	$V1 หัวเราะ
81	นอนแผ่	$V1 นอนอยู่ข้างๆ $V2	$V1 ต้องการให้ทุกคนนอนลง
82	รัก	$V1 บอกรัก $V2	$V1 แสดงความรักให้ทุกๆคน
83	นวด	$V1 นวดให้ $V2	$V1 อยากให้มีคนช่วยนวดให้ $V1 
84	คราง	$V1 ครางใส่ $V2	$V1 ไม่รู้จะทำอะไร เลยครางใส่
85	ตื่นเต้น	$V1 เห็น $V2 ก็ตื่นเต้นขึ้นมา	$V1 รู้สึกตื่นเต้นมาก
86	พยักหน้า	$V1 พยักหน้าให้ $V2	$V1 พยักหน้า
87	แปะมือ	$V1 แปะมือเบาๆลงบนไหล่ของ $V2	$V1 ต้องการปลอบใจ
88	หยิก	$V1 หยิก $V2 เบาๆ	$V1 หยิกขาตัวเองให้แน่ใจว่าไม่ได้ฝันอยู่
89	ชี้	$V1 ชี้ไปทาง $V2: เจ้านั่นเอง!	$V1 ชี้ไปทางใดทางหนึ่ง
90	จิ้ม	$V1 จิ้มท้อง $V2	$V1 จิ้มตัวเอง จากนั้นหัวเราะคนเดียว
91	ถลา	$V1 มองเห็น $V2 ก็ถลาเข้าไปทันที	$V1 ถลาไปข้างหน้า
92	อธิษฐาน	$V1 เริ่มอธิษฐานกับ $V2	$V1 ต้องการให้ทุกคนอธิษฐาน
93	ภูมิใจ	$V1 รู้สึกภูมิใจกับ $V2	$V1 รู้สึกภูมิใจในตัวเอง
94	พร้อมแล้ว	$V1 บอกกับ $V2 ว่าพร้อมแล้ว!	$V1 เตรียมพร้อมแล้ว!
95	ขี้อาย	$V1 มอง $V2 อย่างเขิลอาย	$V1 รู้สึกอายมาก
96	ขอโทษ	$V1 ขอโทษ $V2	$V1 ขอโทษทุกๆคน
